sample_id,ok,n_sections,n_strips,n_vortices,s_ref,c_ref,b_ref,aspect_ratio,cd_ind,cd_total,span_efficiency,l_over_d,cl,cm,x_np,CLa,Cma,Clp,Cmq,Cnb,elevon_sym.CL,elevon_sym.Cm,elevon_diff.Cl,elevon_diff.Cn,elevon_diff.CY,hinge_moments.elevon_sym,hinge_moments.elevon_diff
lhs30s2000:21,True,29,112,5376,1.0299,0.66939,1.8852,3.450800116516166,0.0031243,0.009198372967181798,0.7869,17.861854546036994,0.1643,-0.07882,0.359394,3.549714,-1.905839,-0.273544,-4.796055,0.003544,0.012598,-0.009038,-0.002974,6.5e-05,-0.000707,-0.0004103,-0.0002646
lhs30s2000:22,True,29,112,5376,1.1101,0.54688,2.4177,5.265537600216196,0.0031407,0.009653072354282395,0.6792,19.72429015468146,0.1904,-0.13172,0.415673,4.349872,-3.306236,-0.369887,-9.316474,0.00465,0.01365,-0.013954,-0.00398,-8e-06,-0.001097,-0.0008584,-0.0004927
lhs30s2000:23,True,29,112,5376,0.70859,0.42936,2.1117,6.293169378625157,0.002545,0.00981027836331127,0.8124,20.546817586118316,0.20157,-0.12387,0.297693,4.553225,-3.156939,-0.385488,-8.377901,0.002553,0.009963,-0.009043,-0.002916,-0.000137,-0.000365,-0.0003441,-0.0002182
lhs30s2000:24,True,29,112,5376,1.0648,0.64506,2.0589,3.9810942993989475,0.0049699,0.011311295031860494,0.9328,21.284035057160132,0.24075,-0.11858,0.341416,3.777588,-1.999398,-0.304846,-4.873493,0.003956,0.007079,-0.005254,-0.00198,9e-06,-0.000336,-0.0002016,-0.0001087
lhs30s2000:25,True,29,112,5376,0.8095,0.45796,2.2032,5.996405484867202,0.0028444,0.009863583212970912,0.5425,17.293918073878274,0.17058,-0.11289,0.325608,4.474657,-3.181441,-0.382564,-8.579763,0.003357,0.010449,-0.010631,-0.003174,-4.3e-05,-0.000519,-0.0003483,-0.0002064
lhs30s2000:26,True,28,108,5184,0.63267,0.49375,1.5823,3.9573131174229856,0.0051987,0.012120783743478532,0.901,20.061408993525674,0.24316,-0.11024,0.241558,3.826961,-1.872267,-0.303948,-4.497739,0.003202,0.008466,-0.005779,-0.002142,0.000102,-0.000622,-0.0001866,-0.0001152
lhs30s2000:27,True,29,112,5376,0.76528,0.44715,2.094,5.729714614258833,0.0039742,0.01115836123551684,0.756,20.952001379544075,0.23379,-0.129,0.256833,4.475958,-2.570883,-0.378439,-6.417018,0.002268,0.014426,-0.011791,-0.00395,-0.000139,-0.000321,-0.0006376,-0.0004093
lhs30s2000:28,True,29,112,5376,0.86502,0.4533,2.3812,6.554892881089455,0.0027251,0.009756862341658288,0.6199,19.081954165231835,0.18618,-0.10608,0.282679,4.67266,-2.913865,-0.39806,-7.432049,0.002627,0.015364,-0.012726,-0.004156,-0.000132,-0.000841,-0.0005763,-0.0003957
lhs30s2000:29,True,29,112,5376,0.63705,0.48403,1.6313,4.177285440703241,0.0036935,0.010607538589095057,0.8955,19.72747949417097,0.20926,-0.11736,0.305067,3.910334,-2.464521,-0.313109,-6.40548,0.004339,0.00825,-0.006762,-0.002163,4.6e-05,-0.000568,-0.0002466,-0.0001477
extreme:narrow_elevon,True,29,112,5376,0.77934,0.55423,1.7165,3.780599289142094,0.0025588,0.009024435209599693,0.9228,18.72693371660835,0.169,-0.06583,0.276745,3.755329,-1.875173,-0.2925,-4.617607,0.004048,0.004197,-0.002815,-0.001084,3e-06,-0.000246,-7.44e-05,-4.61e-05
extreme:wide_elevon,True,28,108,5184,0.77939,0.55391,1.7165,3.780356753358395,0.0046932,0.011347664994932796,0.8289,18.93517301541316,0.21487,-0.09676,0.276728,3.739609,-1.868287,-0.2931,-4.607316,0.003365,0.016336,-0.010964,-0.003814,4.6e-05,-0.00087,-0.000575,-0.0004316
extreme:high_ar,True,29,112,5376,0.95187,0.46449,2.4999,6.565497399855022,0.0033249,0.010450745330917102,0.8129,22.59073324670538,0.23609,-0.15654,0.340195,4.707241,-3.447574,-0.401004,-9.523656,0.0024,0.012308,-0.011913,-0.003572,-0.000118,-0.000613,-0.0004159,-0.000264
extreme:strong_taper,True,29,112,5376,0.61198,0.49851,1.7166,4.815052060524853,0.0033306,0.010608601861977639,0.8511,19.50681180162817,0.20694,-0.08574,0.253358,3.980049,-2.022768,-0.309755,-4.695988,0.003359,0.010306,-0.006611,-0.002776,-6.3e-05,-0.000531,-0.000229,-0.0001401
extreme:min_chord,True,29,112,5376,0.76513,0.55705,1.7166,3.8512613020009665,0.0032992,0.009929804296397352,0.8789,18.890603923388117,0.18758,-0.07575,0.274933,3.743878,-1.847792,-0.288872,-4.513723,0.003638,0.009686,-0.006287,-0.002443,1.1e-05,-0.000574,-0.000247,-0.0001556
extreme:max_sweep,True,29,112,5376,0.7794,0.5539,1.7165,3.780308249935848,0.002641,0.00911067710059408,0.8388,17.549738426090645,0.15989,0.05222,-0.148122,3.172357,0.848335,-0.268841,-0.965026,-0.00046,0.006871,0.002705,-0.001698,-0.000166,-0.00069,-0.0001671,-8.317e-05
